Description	Varname	2007	2008	2009	2010	2011	2012	2013
Self-employed 1	selfemp1	SELFCM31	SELFCM31	SELFCM31	SELFCM31	SELFCM31	SELFCM31	SELFCM31
Self-employed 2	selfemp2	SELFCM42	SELFCM42	SELFCM42	SELFCM42	SELFCM42	SELFCM42	SELFCM42
Self-employed 3	selfemp3	SELFCM53	SELFCM53	SELFCM53	SELFCM53	SELFCM53	SELFCM53	SELFCM53
Offered ESI 1	offered1	OFFER31X	OFFER31X	OFFER31X	OFFER31X	OFFER31X	OFFER31X	OFFER31X
Offered ESI 2	offered2	OFFER42X	OFFER42X	OFFER42X	OFFER42X	OFFER42X	OFFER42X	OFFER42X
Offered ESI 3	offered3	OFFER53X	OFFER53X	OFFER53X	OFFER53X	OFFER53X	OFFER53X	OFFER53X
Choice over ESI 1	choice1	CHOIC31	CHOIC31	CHOIC31	CHOIC31	CHOIC31	CHOIC31	CHOIC31
Choice over ESI 2	choice2	CHOIC42	CHOIC42	CHOIC42	CHOIC42	CHOIC42	CHOIC42	CHOIC42
Choice over ESI 3	choice3	CHOIC53	CHOIC53	CHOIC53	CHOIC53	CHOIC53	CHOIC53	CHOIC53
Have ESI 1	hasESI1	HELD31X	HELD31X	HELD31X	HELD31X	HELD31X	HELD31X	HELD31X
Have ESI 2	hasESI2	HELD42X	HELD42X	HELD42X	HELD42X	HELD42X	HELD42X	HELD42X
Have ESI 3	hasESI3	HELD53X	HELD53X	HELD53X	HELD53X	HELD53X	HELD53X	HELD53X
Emp offers ins 1	offerothers1	OFREMP31	OFREMP31	OFREMP31	OFREMP31	OFREMP31	OFREMP31	OFREMP31
Emp offers ins 2	offerothers2	OFREMP42	OFREMP42	OFREMP42	OFREMP42	OFREMP42	OFREMP42	OFREMP42
Emp offers ins 3	offerothers3	OFREMP53	OFREMP53	OFREMP53	OFREMP53	OFREMP53	OFREMP53	OFREMP53
Num employees 1	numemp1	NUMEMP31	NUMEMP31	NUMEMP31	NUMEMP31	NUMEMP31	NUMEMP31	NUMEMP31
Num employees 2	numemp2	NUMEMP42	NUMEMP42	NUMEMP42	NUMEMP42	NUMEMP42	NUMEMP42	NUMEMP42
Num employees 3	numemp3	NUMEMP53	NUMEMP53	NUMEMP53	NUMEMP53	NUMEMP53	NUMEMP53	NUMEMP53
Job change 1 to 2	jobchange1	CHGJ3142	CHGJ3142	CHGJ3142	CHGJ3142	CHGJ3142	CHGJ3142	CHGJ3142
Job change 2 to 3	jobchange2	CHGJ4253	CHGJ4253	CHGJ4253	CHGJ4253	CHGJ4253	CHGJ4253	CHGJ4253
Personal income	persinc	TTLP07X	TTLP08X	TTLP09X	TTLP10X	TTLP11X	TTLP12X	TTLP13X
Family income	faminc	FAMINC07	FAMINC08	FAMINC09	FAMINC10	FAMINC11	FAMINC12	FAMINC13
Poverty level pct	povertypct	POVLEV07	POVLEV08	POVLEV09	POVLEV10	POVLEV11	POVLEV12	POVLEV13
Person wage inc	wageinc	WAGEP07X	WAGEP08X	WAGEP09X	WAGEP10X	WAGEP11X	WAGEP12X	WAGEP13X
Person bus inc	businc	BUSNP07X	BUSNP08X	BUSNP09X	BUSNP10X	BUSNP11X	BUSNP12X	BUSNP13X
Tricare coverage	tricareAT	TRIAT07X	TRIAT08X	TRIAT09X	TRIAT10X	TRIAT11X	TRIAT12X	TRIAT13X
Medicaid coverage	medicaidAT	MCDAT07X	MCDAT08X	MCDAT09X	MCDAT10X	MCDAT11X	MCDAT12X	MCDAT13X
Any public coverage	publicAT	PUBAT07X	PUBAT08X	PUBAT09X	PUBAT10X	PUBAT11X	PUBAT12X	PUBAT13X
Ever priv coverage	privateAT	PRIVAT07	PRIVAT08	PRIVAT09	PRIVAT10	PRIVAT11	PRIVAT12	PRIVAT13
Uninsured	uninsured	UNINS07	UNINS08	UNINS09	UNINS10	UNINS11	UNINS12	UNINS13
Total non-RX med exp	nonRXmed	TOTTCH07	TOTTCH08	TOTTCH09	TOTTCH10	TOTTCH11	TOTTCH12	TOTTCH13
Total medical exp	totalmed	TOTEXP07	TOTEXP08	TOTEXP09	TOTEXP10	TOTEXP11	TOTEXP12	TOTEXP13
OOP medical exp	OOPmed	TOTSLF07	TOTSLF08	TOTSLF09	TOTSLF10	TOTSLF11	TOTSLF12	TOTSLF13
Medicare expenses	mcrmed	TOTMCR07	TOTMCR08	TOTMCR09	TOTMCR10	TOTMCR11	TOTMCR12	TOTMCR13
Medicaid expenses	mcdmed	TOTMCD07	TOTMCD08	TOTMCD09	TOTMCD10	TOTMCD11	TOTMCD12	TOTMCD13
Private ins exp	privmed	TOTPRV07	TOTPRV08	TOTPRV09	TOTPRV10	TOTPRV11	TOTPRV12	TOTPRV13
Veterans ins exp	vetmed	TOTVA07	TOTVA08	TOTVA09	TOTVA10	TOTVA11	TOTVA12	TOTVA13
Tricare expenses	trimed	TOTTRI07	TOTTRI08	TOTTRI09	TOTTRI10	TOTTRI11	TOTTRI12	TOTTRI13
Other fed expenses	fedmed	TOTOFD07	TOTOFD08	TOTOFD09	TOTOFD10	TOTOFD11	TOTOFD12	TOTOFD13
Other state expenses	statemed	TOTSTL07	TOTSTL08	TOTSTL09	TOTSTL10	TOTSTL11	TOTSTL12	TOTSTL13
Workers comp exp	wcmed	TOTWCP07	TOTWCP08	TOTWCP09	TOTWCP10	TOTWCP11	TOTWCP12	TOTWCP13
Other private exp	oprivmed	TOTOPR07	TOTOPR08	TOTOPR09	TOTOPR10	TOTOPR11	TOTOPR12	TOTOPR13
Other public exp	opubmed	TOTOPU07	TOTOPU08	TOTOPU09	TOTOPU10	TOTOPU11	TOTOPU12	TOTOPU13
Other source exp	osrcmed	TOTOSR07	TOTOSR08	TOTOSR09	TOTOSR10	TOTOSR11	TOTOSR12	TOTOSR13
